Location,Pollution Type,Safe Limit,Unit,Value,input_reference
Delhi,Air Pollution,40 µg/m³,µg/m³,126,Delhi recorded an average PM2.5 level of 126 µg/m³ in April 2025; over 3 times the safe limit.
Lucknow,Air Pollution,40 µg/m³,µg/m³,98,Lucknow; Patna; and Kanpur followed closely with levels at 98; 91; and 87 µg/m³; respectively.
Patna,Air Pollution,40 µg/m³,µg/m³,91,Lucknow; Patna; and Kanpur followed closely with levels at 98; 91; and 87 µg/m³; respectively.
Kanpur,Air Pollution,40 µg/m³,µg/m³,87,Lucknow; Patna; and Kanpur followed closely with levels at 98; 91; and 87 µg/m³; respectively.
Yamuna River in Delhi,Water Pollution,5 mg/L,mg/L,65,The Yamuna River in Delhi showed a BOD level of 65 mg/L; nearly 13 times higher than the acceptable limit of 5 mg/L.
Uttar Pradesh (rural households),Nitrate Contamination,45 mg/L,mg/L,Above 45,65% of rural households in Uttar Pradesh rely on groundwater sources that show nitrate concentrations above the permissible limit of 45 mg/L; indicating contamination from fertilizers and sewage.
Delhi,AQI,Unknown; Safe Limit not specified,,350,Delhi's AQI hit 350 this week — that's like facing 350 bouncers in a T20 match without a helmet.
Global,Air pollution,,deaths/year,7000000+,7M+ deaths globally each year due to air pollution — 70x the IPL's total viewership!
Indian cities,PM2.5,WHO safe limit,,10x,PM2.5 levels in Indian cities often cross 10x the WHO safe limit — imagine your favorite batter hitting 10 consecutive sixes. That’s the scale.
Olympic athletes,Lung capacity,,%,~15,Olympic athletes lose ~15% lung capacity in polluted air.
Delhi,Air,10,minutes off your life,10,Ironically; 100m sprints are run in ~10 seconds... and breathing Delhi air for 10 secs takes 10 minutes off your life (figuratively; but close).
,Air Pollution,,,7000000,7M+ deaths globally each year due to air pollution — 70x the IPL's total viewership!
Delhi,AQI,,,350; that's like facing 350 bouncers in a T20 match without a helmet.,Delhi's AQI hit 350 this week — that's like facing 350 bouncers in a T20 match without a helmet.
Indian cities,PM2.5,WHO safe limit,,10x,PM2.5 levels in Indian cities often cross 10x the WHO safe limit — imagine your favorite batter hitting 10 consecutive sixes. That’s the scale.
,Polluted air,,,15%,Olympic athletes lose ~15% lung capacity in polluted air.
Delhi,Air,,Seconds,10,ironically; 100m sprints are run in ~10 seconds... and breathing Delhi air for 10 secs takes 10 minutes off your life (figuratively; but close).
Delhi,AQI,,,350;this week,Delhi's AQI hit 350 this week — that's like facing 350 bouncers in a T20 match without a helmet.
Global,Air pollution,,,7M+,7M+ deaths globally each year due to air pollution — 70x the IPL's total viewership!
Indian cities,PM2.5,WHO safe limit,,10x;often cross,PM2.5 levels in Indian cities often cross 10x the WHO safe limit — imagine your favorite batter hitting 10 consecutive sixes. That’s the scale.
,Lung capacity,,%,~15,Olympic athletes lose ~15% lung capacity in polluted air.
Delhi,Air,,,10 secs,breathing Delhi air for 10 secs takes 10 minutes off your life (figuratively; but close)
Air Pollution,,,,7000000,7M+ deaths globally each year due to air pollution — 70x the IPL's total viewership!
AQI,,,350,Delhi's AQI hit 350 this week — that's like facing 350 bouncers in a T20 match without a helmet.,
PM2.5,WHO Safe Limit,x,10,PM2.5 levels in Indian cities often cross 10x the WHO safe limit — imagine your favorite batter hitting 10 consecutive sixes. That’s the scale.,
Lung Capacity, ,%,15,Olympic athletes lose ~15% lung capacity in polluted air.,
Air,,,10 minutes off your life,Ironically; 100m sprints are run in ~10 seconds... and breathing Delhi air for 10 secs takes 10 minutes off your life (figuratively; but close).,
Air Pollution,,,,7000000,7M+ deaths globally each year due to air pollution — 70x the IPL's total viewership!
AQI,,,350,Delhi's AQI hit 350 this week — that's like facing 350 bouncers in a T20 match without a helmet.,
PM2.5,,times the WHO safe limit,10,PM2.5 levels in Indian cities often cross 10x the WHO safe limit — imagine your favorite batter hitting 10 consecutive sixes. That’s the scale.,
Lung Capacity,,,15%,Olympic athletes lose ~15% lung capacity in polluted air.,
Air,,,,breathing Delhi air for 10 secs takes 10 minutes off your life (figuratively; but close).,
,Air Pollution,,deaths,7000000+;globally;each year,7M+ deaths globally each year due to air pollution — 70x the IPL's total viewership!
Delhi,AQI,,,350,Delhi's AQI hit 350 this week — that's like facing 350 bouncers in a T20 match without a helmet.
Indian cities,PM2.5,WHO Safe Limit,x,10x,PM2.5 levels in Indian cities often cross 10x the WHO safe limit — imagine your favorite batter hitting 10 consecutive sixes. That’s the scale.
,Lung Capacity,,,~15%;percent,Olympic athletes lose ~15% lung capacity in polluted air.
Delhi,Air,,,10 minutes;life;reduction,breathing Delhi air for 10 secs takes 10 minutes off your life (figuratively; but close)
